Reward,Time,Seed
49,9.72100019455,[(1,), (), (), (), (), (), (), (), (), (), (), (24,), (), (31,), (), (26,), (29,), (), (34,), ()]
24,10.8059999943,[(1,), (), (), (), (), (2,), (), (), (), (), (0,), (), (), (), (), (22,), (), (), (), ()]
30,10.9539999962,[(1,), (), (), (), (), (), (), (22,), (), (), (8,), (10,), (), (), (), (9,), (), (), (), ()]
31,9.73399996758,[(1,), (), (), (), (), (), (), (), (), (), (5,), (), (), (), (), (), (8,), (), (), ()]
17,11.3629999161,[(1,), (), (), (), (3,), (), (), (), (12,), (), (), (), (), (), (), (), (22,), (), (10,), ()]
44,9.73699998856,[(1,), (), (), (), (), (), (), (), (), (), (0,), (), (), (), (), (), (), (21,), (), ()]
28,10.9370000362,[(1,), (), (), (2,), (), (), (), (3,), (), (), (), (), (22,), (), (), (), (), (), (), ()]
24,11.0720000267,[(1,), (), (), (), (), (), (3,), (), (), (), (2,), (), (), (12,), (), (5,), (), (), (), ()]
21,10.6240000725,[(1,), (), (), (), (), (), (), (), (), (22,), (), (), (), (6,), (), (), (0,), (), (10,), ()]
22,10.1549999714,[(1,), (), (), (), (), (), (), (), (), (22,), (), (8,), (), (), (9,), (), (23,), (), (), ()]
25,11.7649998665,[(1,), (), (), (), (2,), (), (), (0,), (), (12,), (), (), (), (), (), (), (), (), (), ()]
20,11.2300000191,[(1,), (), (), (), (), (), (2,), (), (), (), (), (5,), (), (), (0,), (), (), (8,), (), ()]
34,11.9930000305,[(1,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (0,), ()]
17,12.4130001068,[(1,), (), (0,), (), (), (), (2,), (), (), (), (3,), (), (), (), (), (), (), (), (), ()]
16,10.8039999008,[(1,), (), (), (), (), (), (3,), (), (), (), (4,), (), (), (), (22,), (), (11,), (), (), ()]
39,10.1649999619,[(1,), (), (), (), (), (), (), (), (), (8,), (), (), (), (), (), (), (10,), (), (), ()]
34,9.93499994278,[(1,), (), (), (), (), (), (), (), (), (0,), (), (), (), (), (8,), (), (22,), (), (), ()]
34,10.111000061,[(1,), (), (), (), (), (), (), (), (), (), (), (), (3,), (), (), (), (23,), (), (20,), ()]
34,10.5550000668,[(1,), (), (), (), (), (), (), (), (), (10,), (), (12,), (), (), (), (), (3,), (), (), ()]
36,10.5810000896,[(1,), (), (), (), (), (), (), (), (), (), (22,), (), (), (), (), (), (), (), (), ()]
37,10.2079999447,[(1,), (), (), (), (), (), (), (), (), (0,), (), (), (), (24,), (), (), (15,), (17,), (), ()]
37,10.7249999046,[(1,), (), (), (), (2,), (), (), (), (), (), (), (), (), (), (), (3,), (), (), (), ()]
38,10.0080001354,[(1,), (), (), (), (), (), (), (2,), (), (), (), (), (), (), (0,), (), (23,), (), (10,), ()]
27,10.3539998531,[(1,), (), (), (), (), (), (3,), (), (), (), (), (8,), (), (20,), (), (), (9,), (), (), ()]
35,10.8570001125,[(1,), (), (0,), (), (), (), (), (), (), (), (), (4,), (), (), (), (), (), (), (), ()]
30,10.7799999714,[(1,), (), (), (), (), (), (), (12,), (), (6,), (), (), (), (), (22,), (), (), (), (), ()]
18,10.8229999542,[(1,), (), (), (), (), (), (), (2,), (), (), (), (), (), (), (22,), (), (10,), (), (12,), ()]
21,10.7929999828,[(1,), (), (), (), (), (), (), (), (), (), (3,), (), (), (), (22,), (), (), (), (18,), ()]
31,10.111000061,[(1,), (), (), (), (), (), (), (), (), (), (22,), (), (), (14,), (), (23,), (), (18,), (), ()]
30,10.2909998894,[(2,), (), (), (), (), (0,), (), (), (), (), (), (1,), (), (), (10,), (), (20,), (), (), ()]
12,10.8790001869,[(1,), (), (), (), (), (), (), (), (), (0,), (), (), (2,), (), (), (5,), (), (), (22,), ()]
17,11.0839998722,[(1,), (), (), (0,), (), (), (), (), (12,), (), (), (), (), (5,), (), (3,), (), (), (), ()]
27,10.3229999542,[(1,), (), (), (), (), (), (), (), (), (), (), (), (5,), (), (), (), (), (), (22,), ()]
10,11.8480000496,[(2,), (), (), (), (), (3,), (), (), (), (4,), (), (0,), (), (), (), (), (12,), (), (), ()]
10,11.3259999752,[(1,), (), (0,), (), (), (), (), (), (22,), (), (), (), (), (5,), (), (), (), (8,), (), ()]
23,11.0550000668,[(1,), (), (), (), (), (0,), (), (), (), (), (3,), (), (), (), (), (), (22,), (), (), ()]
26,10.8459999561,[(1,), (), (), (), (), (), (), (), (), (), (), (), (), (0,), (), (), (8,), (), (22,), ()]
23,10.7009999752,[(1,), (), (), (2,), (), (), (), (), (), (3,), (), (), (), (), (), (), (22,), (), (), ()]
38,9.88199996948,[(1,), (), (), (), (), (), (), (), (), (0,), (), (), (), (15,), (), (22,), (), (), (21,), ()]
46,9.81900000572,[(1,), (), (), (), (), (), (), (), (4,), (), (), (), (), (), (), (), (), (9,), (), ()]
46,11.2239999771,[(1,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (0,), (), (), ()]
47,9.35300016403,[(1,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (15,), (), (), (4,), ()]
19,10.2919998169,[(1,), (), (), (), (), (), (), (), (), (6,), (), (), (22,), (), (), (), (4,), (), (8,), ()]
26,10.2230000496,[(1,), (), (), (), (), (0,), (), (), (), (), (), (), (), (22,), (), (), (), (20,), (), ()]
27,10.9590001106,[(1,), (), (), (), (), (), (), (), (), (3,), (), (5,), (), (), (), (), (), (8,), (), ()]
42,10.0959999561,[(1,), (), (), (3,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (0,), ()]
38,10.0429999828,[(2,), (), (), (), (), (), (), (), (), (), (), (0,), (), (), (), (), (9,), (), (), ()]
24,11.3519999981,[(1,), (), (0,), (), (), (), (), (6,), (), (), (), (), (), (), (), (), (), (), (), ()]
43,9.80800008774,[(1,), (), (), (), (), (), (), (), (), (), (22,), (), (), (8,), (), (18,), (), (9,), (), ()]
24,11.3550000191,[(1,), (), (), (2,), (), (), (), (), (3,), (), (), (), (), (), (), (), (), (), (0,), ()]
27,11.0719997883,[(2,), (), (), (1,), (), (), (), (), (), (), (4,), (), (), (), (), (), (), (0,), (), ()]
37,10.8930001259,[(1,), (), (), (), (), (), (), (), (8,), (), (), (), (9,), (), (15,), (), (21,), (), (24,), ()]
31,10.3970000744,[(1,), (), (), (), (), (), (), (), (0,), (), (), (), (), (22,), (), (8,), (), (), (9,), ()]
44,9.83899998665,[(1,), (), (), (), (), (), (), (), (), (), (), (), (), (), (31,), (), (21,), (), (), ()]
42,9.75899982452,[(1,), (), (), (), (), (), (), (), (), (), (23,), (), (14,), (), (2,), (), (), (15,), (), ()]
32,10.2220001221,[(1,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (0,), (), (3,), (9,), ()]
25,10.6319999695,[(1,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (2,), (), (), (4,), ()]
19,11.3129999638,[(1,), (), (), (), (), (2,), (), (), (), (), (18,), (), (), (), (), (11,), (), (), (3,), ()]
19,10.8240001202,[(1,), (), (), (2,), (), (), (), (), (), (22,), (), (), (3,), (), (), (), (), (18,), (), ()]
32,10.2929999828,[(2,), (), (), (), (), (), (), (1,), (), (), (8,), (), (4,), (), (22,), (), (), (), (), ()]
26,10.0980000496,[(1,), (), (), (), (), (), (), (20,), (), (8,), (), (), (), (6,), (), (12,), (), (), (24,), ()]
23,10.4869999886,[(1,), (), (), (), (), (), (), (), (5,), (), (), (), (22,), (), (), (3,), (), (), (18,), ()]
20,10.2199997902,[(1,), (), (), (), (), (), (), (), (), (), (6,), (), (), (22,), (), (), (10,), (), (), ()]
21,10.7250001431,[(1,), (), (), (), (), (), (), (), (), (12,), (), (0,), (), (), (2,), (), (), (), (3,), ()]
38,10.2909998894,[(1,), (), (), (), (), (), (), (8,), (), (), (22,), (), (), (20,), (), (), (), (), (23,), ()]
36,10.4240000248,[(1,), (), (), (), (), (), (), (), (), (), (12,), (), (), (), (), (), (), (20,), (), ()]
38,10.6419999599,[(1,), (), (), (), (), (), (), (), (), (), (0,), (), (), (8,), (22,), (), (), (), (15,), ()]
29,10.3580000401,[(1,), (), (), (), (), (), (), (0,), (), (), (4,), (), (), (), (), (), (3,), (), (), ()]
26,10.9379999638,[(1,), (), (0,), (), (), (3,), (), (), (), (), (), (), (2,), (), (), (), (22,), (), (), ()]
44,10.231000185,[(1,), (), (), (), (), (), (), (), (), (), (), (), (22,), (), (), (15,), (19,), (8,), (14,), ()]
47,9.89899992943,[(2,), (), (), (), (), (), (), (), (), (), (22,), (), (), (23,), (), (3,), (), (), (), ()]
17,11.1579999924,[(1,), (), (), (), (), (), (), (0,), (), (), (), (), (), (), (), (5,), (), (), (12,), ()]
18,10.4830000401,[(1,), (), (), (), (), (), (), (), (), (), (), (5,), (), (), (), (12,), (), (), (2,), ()]
25,10.4040000439,[(1,), (), (), (), (), (), (), (0,), (), (), (), (), (8,), (), (24,), (), (23,), (), (17,), ()]
40,9.98799991608,[(1,), (), (), (), (0,), (), (), (), (), (), (), (), (), (), (), (15,), (), (), (23,), ()]
31,10.3180000782,[(1,), (), (), (), (), (), (), (), (), (2,), (), (), (), (), (), (10,), (), (12,), (), ()]
33,9.91699981689,[(2,), (), (), (), (), (), (), (), (), (), (), (23,), (24,), (), (17,), (), (21,), (), (31,), ()]
17,11.1119999886,[(1,), (), (), (), (0,), (), (), (), (), (), (), (8,), (), (12,), (), (), (3,), (), (), ()]
20,11.1690001488,[(1,), (), (), (), (), (), (), (), (), (), (6,), (), (), (), (), (0,), (), (), (2,), ()]
23,10.2909998894,[(1,), (), (), (), (), (), (2,), (), (), (3,), (), (), (), (), (12,), (), (), (8,), (), ()]
50,9.91000008583,[(1,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (24,), (), (), (21,), ()]
30,10.6270000935,[(1,), (), (), (2,), (), (), (), (), (), (), (), (), (), (), (), (), (), (8,), (), ()]
16,11.271999836,[(1,), (), (), (), (), (), (2,), (), (0,), (), (), (4,), (), (), (), (), (), (), (5,), ()]
35,10.6979999542,[(1,), (), (), (), (2,), (), (), (), (), (), (), (), (), (20,), (), (), (0,), (), (22,), ()]
30,10.4160001278,[(1,), (), (), (), (), (), (), (), (0,), (), (), (), (), (22,), (), (), (2,), (), (), ()]
24,11.3079998493,[(1,), (), (), (2,), (), (3,), (), (), (), (), (), (), (), (), (6,), (), (), (), (), ()]
11,12.6240000725,[(1,), (), (), (2,), (), (), (), (), (), (3,), (), (), (), (4,), (), (), (), (), (22,), ()]
34,10.9200000763,[(1,), (), (), (), (), (), (), (), (), (0,), (), (), (), (), (8,), (), (2,), (), (), ()]
32,11.1749999523,[(1,), (), (0,), (), (), (), (), (), (), (), (), (), (), (), (), (), (8,), (), (9,), ()]
32,10.6849999428,[(1,), (), (), (), (), (), (), (), (), (), (22,), (), (), (), (), (3,), (), (), (), ()]
48,10.2330000401,[(1,), (), (), (), (), (), (), (), (9,), (), (), (21,), (), (), (), (), (34,), (48,), (), ()]
31,10.7730000019,[(1,), (), (), (), (), (), (3,), (), (), (2,), (), (), (), (), (), (8,), (), (), (9,), ()]
34,11.1840000153,[(1,), (), (), (), (2,), (), (), (), (), (), (), (), (), (), (), (), (), (5,), (), ()]
25,10.7309999466,[(1,), (), (), (), (), (), (3,), (), (), (), (), (), (), (), (12,), (), (), (0,), (), ()]
29,10.6240000725,[(1,), (), (), (), (), (), (), (), (), (), (22,), (), (7,), (), (), (8,), (), (23,), (), ()]
22,11.5380001068,[(1,), (), (), (), (), (3,), (), (), (), (), (), (2,), (), (), (), (), (22,), (), (), ()]
50,10.4399998188,[(1,), (), (), (), (), (), (), (), (), (), (15,), (24,), (), (26,), (), (), (40,), (30,), (), ()]
36,10.4279999733,[(1,), (), (), (), (), (), (), (), (), (), (24,), (), (23,), (), (), (9,), (19,), (), (), ()]
28,10.6449999809,[(1,), (), (), (), (0,), (), (), (), (), (), (12,), (), (), (), (22,), (), (2,), (), (9,), ()]
42,10.4540002346,[(1,), (), (), (), (), (), (), (), (), (), (), (), (0,), (), (), (), (), (), (), ()]
13,11.4839999676,[(1,), (), (0,), (), (), (), (), (3,), (), (), (), (), (6,), (), (), (2,), (), (), (), ()]
30,10.1410000324,[(1,), (), (), (), (), (), (), (), (), (), (), (), (5,), (), (20,), (), (8,), (10,), (), ()]
7,11.6789999008,[(1,), (), (), (), (), (), (4,), (), (), (), (), (5,), (), (), (2,), (), (18,), (), (8,), ()]
39,11.2249999046,[(1,), (), (), (), (), (2,), (), (), (), (0,), (), (), (), (), (), (), (37,), (8,), (), ()]
28,10.5870001316,[(1,), (), (), (), (0,), (), (), (), (), (), (), (), (), (), (), (8,), (), (2,), (), ()]
18,11.506000042,[(1,), (), (0,), (), (), (3,), (), (), (), (), (), (), (), (), (4,), (), (), (), (22,), ()]
36,10.2960000038,[(1,), (), (), (), (), (), (), (), (15,), (), (37,), (21,), (31,), (), (), (22,), (), (49,), (), ()]
31,10.4349999428,[(1,), (), (), (), (), (), (), (), (), (), (), (), (), (), (2,), (), (), (), (), ()]
14,11.5439999104,[(1,), (), (), (), (), (), (), (2,), (), (), (3,), (), (), (), (), (12,), (), (10,), (4,), ()]
33,10.3380000591,[(1,), (), (), (), (), (), (), (), (4,), (), (), (), (), (), (), (22,), (), (8,), (), ()]
21,11.8710000515,[(1,), (), (), (), (), (3,), (), (), (2,), (), (), (), (), (22,), (), (), (), (0,), (), ()]
