Reward,Time,Seed
665;210.927000046;[(0,), (), (), (), (), (), (), (), (), (), (1410,), (), (355,), (), (), (1718,), (), (1445,), (), ()]
642;214.006999969;[(0,), (), (), (), (), (), (), (), (), (507,), (), (), (1410,), (), (), (), (161,), (), (), ()]
710;218.370000124;[(0,), (), (), (), (), (), (), (), (), (170,), (), (2816,), (), (), (507,), (), (), (1718,), (), ()]
719;211.112999916;[(0,), (), (), (), (), (), (), (), (), (507,), (), (), (469,), (), (631,), (), (), (2968,), (), ()]
746;210.725000143;[(0,), (), (), (), (), (), (), (), (), (), (160,), (), (), (507,), (), (), (), (170,), (), ()]
723;215.090999842;[(0,), (), (), (), (), (), (), (), (), (507,), (), (355,), (), (1093,), (), (1718,), (), (2031,), (318,), ()]
684;209.463000059;[(0,), (), (), (), (), (), (), (), (), (), (781,), (), (), (), (), (507,), (), (), (1410,), ()]
710;209.204999924;[(0,), (), (), (), (), (), (), (), (), (2660,), (), (), (170,), (), (), (2968,), (), (2816,), (), ()]
683;204.88499999;[(0,), (), (), (), (), (), (), (), (), (), (), (1410,), (), (), (6,), (), (), (), (634,), ()]
641;213.544000149;[(0,), (), (), (), (), (), (), (), (), (507,), (), (1445,), (), (), (), (), (), (), (), ()]
