Reward,Time,Actions
1448;578.330999851;[(2666, 4654), (), (4170,), (), (), (), (), (866,), (), (), (), (), (), (), (), (), (), (), (), ()]
1633;417.874000072;[(2544, 3346, 3372, 4262), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), ()]
1634;410.529000044;[(253,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), ()]
1587;453.453999996;[(3693,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), ()]
1638;418.529000044;[(148,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), ()]
1559;491.732999802;[(566, 1209), (), (), (2837,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), ()]
1643;389.846000195;[(42, 3415), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), ()]
1552;446.120999813;[(4341, 4393), (), (290,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), ()]
262;624.667000055;[(4444, 4562), (), (), (), (), (), (), (680,), (), (), (4384,), (), (83,), (), (), (), (), (), (), ()]
1484;396.592000008;[(128, 1801), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), ()]
