Reward,Time,Actions
3;96.2389998436;[(697,), (), (185,), (699,), (), (761,), (804,), (), (), (154,), (), (222,), (612,), (129,), (23,), (), (), (), (), ()]
-7;99.1259999275;[(), (116,), (), (649,), (), (674,), (), (351,), (691,), (), (49,), (506,), (), (), (879,), (829,), (), (591,), (), ()]
5;97.5190000534;[(), (390,), (389,), (810,), (636,), (641,), (187,), (880,), (758,), (), (), (968,), (), (), (), (), (), (), (), ()]
0;94.5169999599;[(181,), (), (32,), (), (814,), (254,), (), (), (708,), (), (292,), (), (), (162,), (), (179,), (), (351,), (), ()]
0;93.7000000477;[(), (25,), (), (993,), (), (863,), (630,), (405,), (636,), (854,), (), (717,), (), (), (), (334,), (), (481,), (), ()]
4;94.6330001354;[(), (829,), (), (), (968,), (), (), (), (), (), (359,), (23,), (), (), (482,), (), (100,), (788,), (), ()]
1;98.4659998417;[(695,), (872,), (), (), (), (99,), (), (180,), (), (397,), (), (994,), (267,), (204,), (), (), (), (813,), (), ()]
-2;100.317000151;[(), (741,), (), (952,), (536,), (), (854,), (), (586,), (), (32,), (), (137,), (), (), (481,), (), (), (), ()]
-4;103.445999861;[(), (912,), (611,), (821,), (), (360,), (16,), (), (), (628,), (), (553,), (), (), (284,), (361,), (), (934,), (), ()]
-12;100.194000006;[(), (339,), (179,), (), (846,), (189,), (644,), (250,), (), (), (535,), (699,), (), (968,), (), (559,), (473,), (), (872,), ()]
