Reward,Time,Seed
103;25.7589998245;[(15,), (), (), (), (), (), (), (), (), (), (), (), (267,), (32,), (266,), (157,), (), (5,), (), ()]
97;26.617000103;[(15,), (), (), (), (), (), (), (), (), (), (126,), (), (187,), (), (32,), (65,), (266,), (), (), ()]
94;27.754999876;[(15,), (), (), (), (), (), (), (156,), (), (), (), (140,), (), (5,), (), (), (266,), (157,), (), ()]
81;26.9480001926;[(15,), (), (), (), (), (), (), (), (251,), (), (), (2,), (), (32,), (), (), (3,), (), (65,), ()]
97;25.6809999943;[(15,), (), (), (), (), (), (), (), (), (), (), (266,), (187,), (), (), (46,), (), (140,), (78,), ()]
89;27.6809999943;[(15,), (), (), (), (), (), (), (), (5,), (266,), (), (), (65,), (251,), (), (), (), (), (), ()]
91;26.3839998245;[(15,), (), (), (), (), (), (), (), (), (251,), (8,), (), (32,), (128,), (267,), (253,), (266,), (16,), (), ()]
85;25.109000206;[(15,), (), (), (), (), (), (), (), (), (), (), (251,), (), (156,), (126,), (), (265,), (), (), ()]
103;26.4789998531;[(15,), (), (), (), (), (), (), (), (63,), (32,), (), (266,), (), (), (5,), (17,), (), (), (4,), ()]
92;26.120000124;[(15,), (), (), (), (), (), (), (), (), (), (62,), (), (), (32,), (), (), (267,), (), (), ()]
