# Undirected graph (each unordered pair of nodes is saved once): G_pa.txt
# Nodes: 100 Edges: 485
# NodeId	NodeId
0	1
0	2
0	3
0	4
0	5
0	6
0	8
0	9
0	10
0	11
0	17
0	18
0	19
0	20
0	24
0	45
0	47
0	54
0	56
0	60
0	64
0	71
0	75
0	79
0	80
0	89
1	2
1	3
1	4
1	5
1	6
1	7
1	8
1	10
1	14
1	16
1	17
1	18
1	19
1	20
1	24
1	30
1	37
1	38
1	46
1	73
1	75
1	85
1	87
1	89
1	94
1	98
2	3
2	4
2	5
2	6
2	7
2	8
2	9
2	11
2	12
2	13
2	14
2	15
2	16
2	17
2	22
2	24
2	30
2	33
2	34
2	40
2	41
2	42
2	47
2	57
2	59
2	68
2	75
2	77
2	84
3	4
3	5
3	7
3	10
3	11
3	12
3	13
3	14
3	15
3	17
3	23
3	25
3	26
3	27
3	29
3	35
3	36
3	43
3	45
3	52
3	65
3	67
3	71
3	73
3	78
3	79
3	89
3	93
3	96
3	99
4	5
4	6
4	7
4	10
4	11
4	15
4	20
4	23
4	25
4	26
4	29
4	31
4	32
4	35
4	44
4	52
4	63
4	70
4	76
4	80
4	83
4	86
4	91
4	92
5	6
5	9
5	12
5	14
5	15
5	18
5	20
5	22
5	23
5	25
5	28
5	35
5	38
5	50
5	60
5	66
5	74
5	87
5	89
5	96
6	7
6	8
6	10
6	12
6	15
6	16
6	18
6	21
6	23
6	26
6	27
6	36
6	44
6	46
6	51
6	55
6	60
6	88
6	91
6	96
6	98
6	99
7	8
7	9
7	11
7	13
7	17
7	32
7	33
7	38
7	48
7	67
8	9
8	13
8	18
8	32
8	39
8	41
8	45
8	53
8	61
8	79
8	92
9	16
9	28
9	31
9	50
9	63
9	69
9	74
9	77
9	84
10	12
10	22
10	25
10	28
10	30
10	38
10	45
10	48
10	54
10	61
10	62
10	87
10	96
11	13
11	19
11	21
11	32
11	33
11	34
11	40
11	44
11	67
11	76
12	14
12	16
12	19
12	22
12	27
12	28
12	33
12	36
12	43
12	47
12	50
12	51
12	57
12	58
12	76
12	81
12	82
12	83
12	94
12	95
12	99
13	20
13	21
13	27
13	43
13	59
13	83
13	88
14	23
14	25
14	33
14	47
14	52
14	72
14	84
14	85
14	90
15	19
15	21
15	37
15	42
15	52
15	55
15	58
16	31
16	62
16	86
16	88
17	35
17	37
17	42
17	49
17	58
17	69
17	90
18	22
18	30
18	40
18	47
18	51
18	54
18	55
18	61
18	78
18	81
18	92
18	95
19	21
19	28
19	31
19	44
19	56
19	57
19	74
20	26
20	29
20	35
20	37
20	39
20	48
20	49
20	61
20	73
20	91
21	24
21	36
21	40
21	63
21	64
21	93
22	24
22	26
22	38
22	39
22	48
22	49
22	54
22	61
22	62
22	65
22	66
22	68
22	71
22	72
22	74
22	80
22	81
22	93
22	96
22	97
23	34
23	42
23	56
23	60
23	62
23	66
23	72
23	86
24	29
24	46
24	50
24	53
24	66
24	85
24	87
24	93
24	97
25	31
25	34
25	36
25	41
25	46
25	51
25	53
25	72
25	77
25	81
26	27
26	29
26	48
26	56
26	58
27	32
27	41
27	56
27	76
27	78
28	30
28	79
29	40
29	43
29	54
29	94
30	37
30	49
30	80
30	81
31	34
31	39
31	64
31	88
31	91
31	92
32	71
32	94
33	46
33	95
34	39
34	59
34	66
34	95
35	49
35	68
36	67
36	72
37	41
37	50
37	55
37	65
37	70
37	82
37	99
38	45
38	58
39	42
39	44
39	57
39	85
40	43
40	63
40	70
41	69
41	74
41	86
42	63
43	51
43	70
43	83
44	64
44	65
44	73
44	78
46	89
47	52
47	78
47	80
48	55
48	64
48	71
48	77
49	68
49	75
49	83
49	88
49	97
51	53
51	59
51	87
52	53
52	69
52	82
53	57
53	60
54	65
54	68
54	84
56	62
56	69
56	73
56	90
57	59
57	75
57	76
59	70
59	82
59	85
60	91
60	98
60	99
62	97
63	67
63	82
63	94
67	93
71	95
71	98
72	90
74	79
75	77
76	86
76	98
78	84
78	90
78	97
91	92
