# Undirected graph (each unordered pair of nodes is saved once): G_pa.txt_5000.txt
# Nodes: 5000 Edges: 24985
# NodeId	NodeId
0	1
0	2
0	3
0	4
0	5
0	8
0	9
0	10
0	11
0	15
0	17
0	19
0	20
0	21
0	22
0	24
0	28
0	48
0	49
0	55
0	61
0	64
0	74
0	77
0	96
0	98
0	122
0	130
0	132
0	137
0	151
0	152
0	178
0	179
0	204
0	233
0	239
0	252
0	260
0	265
0	287
0	295
0	306
0	315
0	344
0	347
0	351
0	352
0	359
0	378
0	381
0	399
0	404
0	408
0	417
0	424
0	448
0	502
0	519
0	545
0	563
0	575
0	580
0	642
0	651
0	681
0	684
0	719
0	768
0	781
0	813
0	887
0	890
0	923
0	928
0	935
0	986
0	995
0	1002
0	1057
0	1088
0	1089
0	1094
0	1151
0	1169
0	1211
0	1233
0	1295
0	1344
0	1395
0	1402
0	1438
0	1462
0	1487
0	1509
0	1566
0	1572
0	1622
0	1623
0	1677
0	1766
0	1877
0	1918
0	1973
0	2134
0	2155
0	2156
0	2164
0	2192
0	2218
0	2264
0	2325
0	2336
0	2368
0	2371
0	2459
0	2482
0	2501
0	2526
0	2637
0	2674
0	2678
0	2759
0	2765
0	2771
0	2827
0	2871
0	2928
0	2930
0	2933
0	3072
0	3178
0	3212
0	3250
0	3294
0	3320
0	3419
0	3540
0	3554
0	3633
0	3699
0	3878
0	3890
0	3942
0	3955
0	3965
0	4170
0	4317
0	4384
0	4413
0	4441
0	4472
0	4566
0	4583
0	4657
0	4670
0	4762
0	4837
0	4891
0	4904
0	4936
0	4958
1	2
1	3
1	4
1	5
1	6
1	9
1	10
1	14
1	15
1	19
1	21
1	28
1	32
1	34
1	53
1	66
1	69
1	70
1	73
1	75
1	95
1	99
1	101
1	114
1	116
1	137
1	155
1	156
1	163
1	170
1	171
1	173
1	193
1	196
1	221
1	223
1	226
1	232
1	233
1	237
1	245
1	247
1	253
1	261
1	263
1	274
1	280
1	293
1	313
1	324
1	331
1	334
1	340
1	343
1	352
1	370
1	371
1	373
1	403
1	425
1	432
1	449
1	455
1	475
1	487
1	510
1	550
1	554
1	610
1	629
1	652
1	684
1	694
1	706
1	711
1	732
1	737
1	743
1	814
1	816
1	822
1	841
1	849
1	850
1	853
1	921
1	933
1	938
1	944
1	945
1	948
1	997
1	1022
1	1025
1	1046
1	1057
1	1073
1	1075
1	1087
1	1099
1	1107
1	1109
1	1129
1	1133
1	1144
1	1151
1	1205
1	1232
1	1256
1	1269
1	1277
1	1291
1	1329
1	1338
1	1339
1	1341
1	1350
1	1380
1	1394
1	1401
1	1419
1	1436
1	1490
1	1534
1	1551
1	1566
1	1586
1	1662
1	1672
1	1676
1	1683
1	1685
1	1693
1	1705
1	1726
1	1745
1	1815
1	1825
1	1841
1	1880
1	1950
1	1966
1	2033
1	2097
1	2142
1	2147
1	2208
1	2279
1	2404
1	2423
1	2438
1	2459
1	2492
1	2502
1	2545
1	2547
1	2587
1	2657
1	2671
1	2703
1	2722
1	2728
1	2761
1	2779
1	2818
1	2847
1	2850
1	2897
1	2904
1	2930
1	2941
1	2981
1	3006
1	3082
1	3104
1	3112
1	3137
1	3338
1	3490
1	3509
1	3540
1	3543
1	3580
1	3610
1	3645
1	3649
1	3679
1	3716
1	3774
1	3828
1	3836
1	3849
1	3855
1	3966
1	3984
1	4100
1	4136
1	4169
1	4198
1	4285
1	4287
1	4293
1	4333
1	4390
1	4411
1	4446
1	4513
1	4517
1	4529
1	4585
1	4594
1	4712
1	4718
1	4751
1	4763
1	4789
1	4992
2	3
2	4
2	5
2	6
2	7
2	8
2	9
2	11
2	12
2	13
2	14
2	15
2	18
2	19
2	20
2	25
2	26
2	27
2	32
2	35
2	42
2	50
2	59
2	72
2	86
2	87
2	103
2	105
2	109
2	111
2	120
2	124
2	137
2	149
2	150
2	187
2	189
2	204
2	208
2	223
2	226
2	236
2	238
2	239
2	251
2	252
2	310
2	318
2	333
2	335
2	342
2	347
2	349
2	364
2	369
2	377
2	378
2	393
2	406
2	429
2	439
2	442
2	469
2	499
2	507
2	518
2	524
2	568
2	609
2	628
2	629
2	661
2	673
2	690
2	714
2	725
2	732
2	756
2	758
2	778
2	877
2	891
2	893
2	894
2	911
2	981
2	997
2	998
2	1023
2	1067
2	1096
2	1115
2	1116
2	1142
2	1150
2	1153
2	1190
2	1253
2	1276
2	1282
2	1336
2	1342
2	1381
2	1422
2	1424
2	1460
2	1461
2	1476
2	1482
2	1496
2	1574
2	1589
2	1612
2	1623
2	1624
2	1662
2	1686
2	1689
2	1694
2	1744
2	1751
2	1874
2	1950
2	1972
2	1989
2	2001
2	2009
2	2013
2	2020
2	2063
2	2066
2	2069
2	2091
2	2175
2	2268
2	2275
2	2279
2	2391
2	2420
2	2435
2	2453
2	2458
2	2512
2	2571
2	2586
2	2749
2	2758
2	2788
2	2833
2	2835
2	2848
2	2851
2	2853
2	2862
2	2897
2	2898
2	2904
2	2987
2	3068
2	3077
2	3092
2	3125
2	3230
2	3267
2	3342
2	3345
2	3362
2	3400
2	3432
2	3447
2	3465
2	3562
2	3570
2	3672
2	3691
2	3718
2	3733
2	3754
2	3809
2	3820
2	3855
2	3856
2	3884
2	3894
2	3910
2	3915
2	3956
2	3977
2	4027
2	4086
2	4135
2	4230
2	4316
2	4341
2	4350
2	4661
2	4706
2	4744
2	4811
2	4831
2	4848
2	4924
3	4
3	5
3	6
3	7
3	8
3	11
3	12
3	14
3	16
3	18
3	23
3	27
3	30
3	31
3	32
3	33
3	35
3	37
3	42
3	43
3	44
3	47
3	50
3	60
3	62
3	64
3	67
3	69
3	77
3	78
3	86
3	103
3	108
3	109
3	110
3	118
3	121
3	122
3	126
3	128
3	143
3	151
3	164
3	177
3	188
3	194
3	199
3	202
3	203
3	212
3	218
3	229
3	234
3	244
3	245
3	266
3	269
3	277
3	280
3	290
3	312
3	318
3	330
3	343
3	356
3	364
3	380
3	381
3	448
3	461
3	473
3	479
3	498
3	500
3	512
3	535
3	563
3	583
3	615
3	630
3	633
3	683
3	687
3	695
3	703
3	708
3	710
3	712
3	724
3	734
3	750
3	757
3	783
3	802
3	875
3	898
3	945
3	947
3	963
3	988
3	1006
3	1035
3	1056
3	1081
3	1099
3	1100
3	1122
3	1158
3	1184
3	1187
3	1204
3	1208
3	1234
3	1240
3	1287
3	1346
3	1351
3	1378
3	1392
3	1394
3	1412
3	1419
3	1498
3	1610
3	1645
3	1665
3	1667
3	1669
3	1699
3	1711
3	1715
3	1716
3	1741
3	1759
3	1805
3	1816
3	1829
3	1871
3	1899
3	1910
3	1914
3	1920
3	1993
3	2031
3	2060
3	2129
3	2175
3	2196
3	2255
3	2288
3	2313
3	2390
3	2415
3	2447
3	2494
3	2505
3	2518
3	2545
3	2562
3	2775
3	2880
3	2895
3	2908
3	2917
3	2973
3	3050
3	3095
3	3097
3	3106
3	3165
3	3169
3	3195
3	3230
3	3301
3	3329
3	3390
3	3467
3	3477
