# Directed graph: G_rmat_500.txt 
# Nodes: 500 Edges: 2500
# FromNodeId	ToNodeId
0	1
0	2
0	3
0	4
0	6
0	7
0	8
0	9
0	10
0	11
0	13
0	15
0	16
0	17
0	19
0	20
0	23
0	24
0	31
0	32
0	33
0	34
0	35
0	36
0	38
0	39
0	40
0	41
0	43
0	46
0	47
0	49
0	54
0	55
0	59
0	62
0	63
0	64
0	65
0	66
0	69
0	70
0	72
0	73
0	74
0	75
0	77
0	78
0	83
0	85
0	86
0	93
0	94
0	96
0	97
0	101
0	102
0	103
0	105
0	109
0	117
0	119
0	122
0	125
0	126
0	127
0	128
0	131
0	132
0	133
0	134
0	135
0	140
0	141
0	142
0	144
0	148
0	149
0	150
0	156
0	157
0	159
0	161
0	165
0	171
0	187
0	188
0	189
0	190
0	191
0	194
0	195
0	199
0	202
0	203
0	204
0	212
0	218
0	220
0	221
0	223
0	226
0	243
0	250
0	251
0	252
0	253
0	255
0	257
0	258
0	259
0	261
0	262
0	264
0	265
0	267
0	268
0	270
0	273
0	280
0	281
0	282
0	283
0	284
0	286
0	287
0	288
0	289
0	290
0	292
0	293
0	296
0	312
0	313
0	314
0	315
0	316
0	319
0	320
0	322
0	327
0	329
0	331
0	335
0	343
0	344
0	345
0	347
0	351
0	363
0	375
0	376
0	378
0	379
0	380
0	382
0	384
0	390
0	391
0	399
0	406
0	407
0	408
0	409
0	410
0	413
0	423
0	437
0	438
0	439
0	440
0	441
0	444
0	446
0	448
0	452
0	454
0	455
0	460
0	468
0	469
0	470
0	484
0	494
1	0
1	3
1	7
1	8
1	11
1	12
1	15
1	16
1	19
1	23
1	31
1	35
1	38
1	39
1	42
1	43
1	51
1	54
1	62
1	65
1	66
1	69
1	70
1	73
1	93
1	97
1	101
1	102
1	109
1	125
1	132
1	133
1	140
1	141
1	156
1	168
1	179
1	187
1	194
1	195
1	202
1	218
1	234
1	250
1	253
1	254
1	257
1	261
1	265
1	274
1	281
1	285
1	288
1	289
1	293
1	304
1	312
1	316
1	319
1	320
1	327
1	328
1	331
1	343
1	344
1	355
1	375
1	379
1	383
1	391
1	406
1	409
1	410
1	413
1	437
1	440
1	441
1	448
1	452
1	469
1	471
1	485
2	0
2	3
2	7
2	15
2	16
2	31
2	38
2	46
2	47
2	62
2	69
2	70
2	77
2	81
2	93
2	117
2	125
2	132
2	140
2	156
2	187
2	190
2	194
2	202
2	250
2	257
2	269
2	281
2	312
2	319
2	320
2	323
2	367
2	375
2	382
2	394
2	406
2	413
2	437
2	444
2	468
3	0
3	1
3	9
3	16
3	17
3	31
3	32
3	38
3	40
3	62
3	63
3	69
3	70
3	71
3	93
3	125
3	126
3	133
3	141
3	156
3	157
3	158
3	187
3	194
3	202
3	203
3	218
3	250
3	251
3	265
3	296
3	297
3	306
3	312
3	327
3	343
3	375
3	382
3	406
3	413
3	415
3	439
3	476
4	0
4	7
4	15
4	23
4	24
4	31
4	42
4	62
4	125
4	140
4	250
4	265
4	272
4	288
4	312
4	319
4	328
4	345
4	391
4	438
5	0
5	1
5	31
5	35
5	62
5	66
5	93
5	125
5	129
5	132
5	149
5	156
5	165
5	229
5	250
5	257
5	265
5	281
5	312
5	319
5	320
5	327
5	343
5	382
5	383
5	406
5	421
5	437
5	453
6	7
6	15
6	19
6	31
6	38
6	187
6	250
6	257
6	304
6	367
6	409
6	468
7	0
7	1
7	3
7	4
7	18
7	31
7	33
7	34
7	46
7	62
7	63
7	64
7	65
7	68
7	77
7	93
7	94
7	125
7	140
7	148
7	156
7	159
7	188
7	220
7	250
7	266
7	281
7	288
7	312
7	343
7	363
7	375
7	376
7	406
7	407
7	437
7	452
8	0
8	3
8	31
8	38
8	62
8	93
8	132
8	218
8	250
8	269
8	312
8	313
8	319
8	327
8	349
8	378
8	411
9	0
9	3
9	15
9	24
9	31
9	62
9	73
9	78
9	93
9	125
9	148
9	156
9	187
9	198
9	250
9	251
9	265
9	281
9	312
9	316
9	327
9	343
9	406
9	409
9	469
10	0
10	125
10	140
10	375
10	437
11	0
11	8
11	31
11	62
11	98
11	156
11	312
11	343
12	95
12	114
13	7
13	31
13	62
13	250
15	0
15	1
15	2
15	3
15	4
15	7
15	8
15	9
15	10
15	11
15	31
15	32
15	33
15	34
15	36
15	37
15	38
15	39
15	40
15	42
15	48
15	62
15	63
15	65
15	66
15	69
15	70
15	71
15	73
15	74
15	85
15	93
15	101
15	125
15	127
15	128
15	132
15	133
15	134
15	148
15	156
15	161
15	164
15	167
15	187
15	190
15	194
15	218
15	226
15	250
15	253
15	256
15	257
15	258
15	260
15	261
15	269
15	275
15	281
15	282
15	284
15	286
15	288
15	312
15	314
15	320
15	321
15	322
15	348
15	351
15	352
15	375
15	378
15	382
15	386
15	387
15	406
15	408
15	413
15	437
15	438
15	440
15	444
15	476
15	492
16	0
16	1
16	3
16	7
16	11
16	31
16	36
16	38
16	62
16	63
16	71
16	93
16	96
16	99
16	101
16	125
16	126
16	132
16	156
16	187
16	196
16	250
16	251
16	257
16	263
16	281
16	282
16	286
16	290
16	312
16	313
16	319
16	343
16	351
16	375
16	378
16	382
16	386
16	437
16	445
16	470
17	0
17	3
17	4
17	7
17	8
17	9
17	31
17	39
17	41
17	62
17	65
17	69
17	85
17	93
17	94
17	98
17	125
17	128
17	132
17	148
17	149
17	187
17	190
17	222
17	250
17	257
17	258
17	261
17	284
17	289
17	292
17	312
17	343
17	375
17	379
17	382
17	408
17	409
17	413
17	437
17	460
18	0
18	7
18	62
18	69
18	73
18	93
18	132
18	133
18	187
18	250
18	257
18	258
18	281
18	288
18	319
18	347
18	375
18	382
18	413
18	480
19	0
19	7
19	33
19	62
19	93
19	94
19	125
19	199
19	218
19	259
19	282
19	288
19	312
19	319
19	321
20	0
20	7
20	8
20	31
20	227
20	251
20	281
20	320
20	335
20	375
20	437
21	0
21	7
21	11
21	70
21	93
21	97
21	102
21	160
21	187
21	320
21	344
21	406
22	0
22	62
22	253
22	312
22	444
23	0
23	1
23	4
23	31
23	93
23	94
23	125
23	218
23	250
23	251
23	312
23	375
23	376
23	440
24	62
24	281
24	312
24	315
24	437
24	472
25	0
25	62
25	65
25	125
25	187
25	250
25	312
25	470
26	125
26	187
26	281
26	312
27	1
27	62
27	125
29	125
29	319
29	477
30	0
30	125
31	0
31	1
31	2
31	3
31	4
31	7
31	11
31	15
31	62
31	63
31	64
31	65
31	66
31	67
31	68
31	69
31	70
31	71
31	77
31	79
31	85
31	86
31	93
31	125
31	126
31	130
31	132
31	136
31	140
31	187
31	188
31	189
31	191
31	194
31	196
31	198
31	206
31	211
31	218
31	229
31	250
31	251
31	253
31	254
31	256
31	258
31	260
31	261
31	265
31	266
31	273
31	296
31	312
31	313
31	314
31	315
31	316
31	375
31	377
31	379
31	382
31	383
31	390
31	391
32	0
32	1
32	3
32	4
32	7
32	11
32	18
32	19
32	31
32	62
32	65
32	66
32	113
32	125
32	132
32	133
32	156
32	250
32	251
32	253
32	257
